uuid	name	publisher_uuid	file_link	first_seen	pub_date	file_harvest_date
NULL	BLM - National Landscape Monitoring Framework - Plants - 2011-2013 - Version 1.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=blm-nlmfd-plantcensus	2018-03-09 11:12:50.268315	2016-08-31 23:44:31	NULL
NULL	USGS WERC - SDFS Fisher Lab - Vertebrates - 1999-2009 - Version 1.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs-werc-sdfs-carnivore_cam	2018-03-09 11:12:50.268315	2016-08-31 23:43:42	NULL
NULL	USDA - PLANTS Database - Version 1.1	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usda-plants	2018-03-09 11:12:50.268315	2016-08-31 23:43:14	NULL
NULL	USGS PWRC - North American Breeding Bird Survey - 1966-2013 - Version 1.0	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs_pwrc_north_american_breeding_bird_survey	2018-03-09 11:12:50.268315	2016-08-31 23:35:17	NULL
NULL	USGS FORT - Rocky Mountain Arsenal National Wildlife Refuge - Bats - 1997-1998 - Version 1.0	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs-fort-rma-bats-1997-8	2018-03-09 11:12:50.268315	2016-08-31 23:34:21	NULL
NULL	USGS NWHC - Laboratory Information Management System - Texas - Avian Cholera and Pasteurella multocida - Version 1.0	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs-nwhc-texas-limsaviancholera	2018-03-09 11:12:50.268315	2016-08-31 23:33:21	NULL
NULL	USGS LSC - Northern Appalachian Research Lab - Delaware River Mussel Survey - Version 1.0	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs-leetown-mussels	2018-03-09 11:12:50.268315	2016-08-31 23:27:46	NULL
NULL	Indiana University - Indiana - Hemlocks - 2005-2013 - Version 1.0	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=indianauniv-hemlocks-under1000m2-2005-2013	2018-03-09 11:12:50.268315	2016-08-31 23:24:07	NULL
NULL	USGS PWRC - Bird Banding Lab - US State Centroid - 1960-2010 - Version 1.0	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usgs_pwrc-bbl-us_bandings_state_1960-2010	2018-03-09 11:12:50.268315	2016-10-05 16:39:46	NULL
NULL	USFS - Forest Inventory and Analysis - Trees (Private Lands) - Version 1.0	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usfs-fia-trees-private-lands	2018-03-09 11:12:50.268315	2016-08-31 23:22:15	NULL
NULL	USFS - Forest Inventory and Analysis - Trees (Public Lands) - Version 1.0	5ee0c6b1-b9f6-4f62-8029-f970eae13200	https://bison.usgs.gov/ipt/resource?r=usfs-fia-trees-public-lands	2018-03-09 11:12:50.268315	2016-08-31 23:16:49	NULL
